Set Name,Skins
Academy,Academy Ahri; Academy Darius; Academy Ekko; Academy Vladimir; Headmistress Fiora; Professor Ryze
Bilgewater: Burning Tides,Bilgerat Rumble; Bilgewater Katarina; Bilgewater Swain; Buccaneer Tristana; Captain Gangplank; Captain Fortune; Corsair Quinn; Cutpurse Twisted Fate; Cutthroat Graves; Fiddle Me Timbers; Ironside Malphite; Kingpin Twitch; Pirate Ryze; Rogue Admiral Garen; Sea Hunter Aatrox
Bilgewater: Mercs,High Command Katarina
Chronicle,Shurima Desert Zilean; Unchained Alistar
Curse of the Void,Pre-Void Kassadin; Void Fizz; Void Nocturne; Void Bringer Illaoi
Freljord,Freljord Ashe; Freljord Rammus; Freljord Sylas; Freljord Taliyah; Frost Queen Janna; Frosted Ezreal; Tundra Hunter Warwick
Grand Reckoning,Grand Reckoning Alistar; Grand Reckoning Draven; Grand Reckoning Rell; Grand Reckoning Sion; Grand Reckoning Talon; Prestige Triumphant General Darius; Sahn-Uzal Mordekaiser; Viscero Xin Zhao
Otherroads,Acolyte Lee Sin; Demonblade Tryndamere; Divine Soraka; Foreseen Yasuo; Noxus Poppy; Redeemed Riven; Rune Wars Renekton; Runeguard Volibear; Transcended Kayle; Tyrant Swain
Ruination,King Viego
Traditional,Traditional Karma; Traditional Lee Sin; Traditional Sejuani; Traditional Trundle
Anima Squad,Admiral Battle Bunny Miss Fortune; Battle Bat Vayne; Battle Bat Xayah; Battle Bear Illaoi; Battle Bunny Aurora; Battle Bunny Miss Fortune; Battle Bunny Prime Riven; Battle Cat Jinx; Battle Dove Seraphine; Battle Lion Leona; Battle Wolf Sylas; Battle Wolf Yasuo; Cyber Cat Yuumi; Prestige Battle Cat Jinx; Prestige Battle Lion Leona; Prestige Cyber Cat Yuumi; Primordian Briar
Primordian,Primordian Aatrox; Primordian Bel'Veth; Primordian Rek'Sai
Arcade: Battle Bosses,Battle Boss Bel'Veth; Battle Boss Blitzcrank; Battle Boss Brand; Battle Boss Malzahar; Battle Boss Qiyana; Battle Boss Yasuo; Battle Boss Ziggs; Final Boss Veigar
Arcade: Heroes,Arcade Ahri; Arcade Caitlyn; Arcade Corki; Arcade Ezreal; Arcade Hecarim; Arcade Kai'Sa; Arcade Miss Fortune; Arcade Riven; Arcade Sona; Prestige Arcade Caitlyn; Prestige Arcade Caitlyn (2022)
Demacia Vice,Armor of the Fifth Age Taric; Demacia Vice Garen; Demacia Vice Lucian; Neon Strike Vi
Arcana,Arcana Ahri; Arcana Camille; Arcana Hecarim; Arcana Lucian; Arcana Rakan; Arcana Ryze; Arcana Tahm Kench; Arcana Xayah; Arcana Xerath
Arcane,Arcane Brawler Vi; Arcane Commander Caitlyn; Arcane Councilor Mel; Arcane Enemy Jinx; Arcane Enforcer Caitlyn; Arcane Firelight Ekko; Arcane Fractured Jinx; Arcane Inventor Jayce; Arcane Last Stand Ekko; Arcane Professor Heimerdinger; Arcane Savior Viktor; Arcane Shimmer Lab Singed; Arcane Survivor Jayce; Arcane Undercity Vi; Arcane Vander Warwick; Prestige Arcane Commander Caitlyn
Arcanists,Arcanist Kog'Maw; Arcanist Shaco; Arcanist Zoe; Master Arcanist Ziggs; Prestige Arcanist Zoe; Spellthief Lux
Arclight,Arclight Brand; Arclight Varus; Arclight Vayne; Arclight Vel'Koz; Arclight Yorick
Justicar,Justicar Aatrox; Justicar Syndra
Battle Queens,Battle Princess Annie; Battle Queen Diana; Battle Queen Fiora; Battle Queen Gwen; Battle Queen Janna; Battle Queen Katarina; Battle Queen Miss Fortune; Battle Queen Qiyana; Battle Queen Rell; Prestige Battle Queen Diana
Battlecast,Battlecast Kog'Maw; Battlecast Nasus; Battlecast Urgot; Battlecast Vel'Koz; Battlecast Xerath; Battlecast Zac; Battlecast Alpha Skarner; Battlecast Prime Cho'Gath; Creator Viktor; Resistance Caitlyn; Resistance Illaoi; Resistance Jayce; Resistance Singed; Resistance Yorick
Heartbreakers,Heartbreaker Vi; Heartpiercer Fiora; Heartseeker Ashe; Heartseeker Jinx; Heartseeker Lucian; Heartseeker Orianna; Heartseeker Quinn; Heartseeker Varus; Heartseeker Vayne; Heartseeker Yuumi; Sweetheart Annie; Sweetheart Rakan; Sweetheart Sona; Sweetheart Xayah
Bees!,Bee'Koz; Bee'Maw; Beekeeper Singed; Beemo; Beezahar; Beezcrank; BZZZiggs; Heimerstinger; King Beegar; Nunu & Beelump; Orbeeanna; Yuubee
Beta,King Rammus
Blackfrost,Blackfrost Alistar; Blackfrost Anivia; Blackfrost Rek'Sai; Blackfrost Renekton; Blackfrost Sion; Blackfrost Vel'Koz; Ice Drake Shyvana
Bloodstone,Blood Knight Hecarim; Blood Lord Vladimir; Bloodfury Renekton; Bloodstone Lissandra; Bloodstone Taric; Dark Crystal Ryze; Nightraven Fiora
Cafe Cuties,Cafe Cuties Annie; Cafe Cuties Bard; Cafe Cuties Gwen; Cafe Cuties Jinx; Cafe Cuties Lulu; Cafe Cuties Poppy; Cafe Cuties Rumble; Cafe Cuties Sivir; Cafe Cuties Soraka; Cafe Cuties Vladimir
Dumpling Darlings,Dumpling Darlings Amumu; Dumpling Darlings Seraphine; Dumpling Darlings Syndra
Cats Versus Dogs,Corgi Corki; Fuzz Fizz; Kibble-Head Kled; Kittalee; Meowkai; Meowrick; Prestige Fuzz Fizz; Prestige Fuzz Fizz (2022); Pretty Kitty Rengar; Shiba Yuumi; Woof and Lamb Kindred
Chosen of the Wolf,Chosen of the Wolf Ambessa; Chosen of the Wolf Katarina; Chosen of the Wolf Kindred; Chosen of the Wolf Pantheon; Chosen of the Wolf Swain; Prestige Chosen of the Wolf Swain
Shockblade,Shockblade Kassadin; Shockblade Qiyana; Shockblade Shen; Shockblade Zed
Collector's Edition,Black Alistar; Silver Kayle; Young Ryze
Street Demons,Street Demons Brand; Street Demons Briar; Street Demons Dr. Mundo; Street Demons Neeko; Street Demons Rengar; Street Demons Zyra
Cottontail,Cottontail Fizz; Cottontail Teemo
Crime City,"Crime City Braum; Crime City Graves; Crime City Jinx; Crime City Miss Fortune; Crime City Twitch; Gragas, Esq.; Knockout Lee Sin"
Crime City Nightmare,Crime City Nightmare Akali; Crime City Nightmare Darius; Crime City Nightmare Shaco; Crime City Nightmare Twisted Fate; Crime City Nightmare Zyra
Debonair,Debonair Brand; Debonair Draven; Debonair Ezreal; Debonair Galio; Debonair Jayce; Debonair LeBlanc; Debonair Leona; Debonair Malzahar; Debonair Master Yi; Debonair Vi; Debonair Zed; Prestige Debonair Brand
Crimson Elite,Crimson Elite Riven; Crimson Elite Talon
Crystal Rose,Crystal Rose Akshan; Crystal Rose Janna; Crystal Rose Swain; Crystal Rose Zyra
Withered Rose,Withered Rose Elise; Withered Rose Syndra; Withered Rose Talon; Withered Rose Zeri
Culinary Masters,Baker Pantheon; Barbecue Leona; Birdio; Butcher Olaf; Master Chef Tahm Kench; Pizza Delivery Sivir; Sashimi Akali; Sinful Succulence Morgana
Bilgewater: Curse of the Drowned,Dark Waters Diana; Dark Waters Vladimir; Soulhunter Kayn
Death Sworn,Darkrider Sejuani; Death Sworn Katarina; Death Sworn Viktor; Death Sworn Zed; Gravelord Azir; Reaper Hecarim; Reaper Soraka; Shadow Evelynn; Soul Reaver Draven; Underworld Wukong
Definitely Not,Definitely Not Blitzcrank; Definitely Not Udyr; Definitely Not Vel'Koz; Draven Draven; Furyhorn Cosplay Veigar; Overlord Malzahar; Pajama Guardian Cosplay Urgot; Pengu Cosplay Tristana
Demonic,Demon Vi; Gatekeeper Galio; Little Demon Tristana; Little Devil Fizz; Little Devil Teemo
Dragon World,Dragon Guardian Galio; Dragon Knight Mordekaiser; Dragon Master Swain; Dragon Oracle Udyr; Dragon Sorceress Zyra; Dragon Trainer Heimerdinger; Dragon Trainer Lulu; Dragon Trainer Tristana; Dragonslayer Braum; Dragonslayer Diana; Dragonslayer Jarvan IV; Dragonslayer Kayle; Dragonslayer Olaf; Dragonslayer Pantheon; Dragonslayer Trundle; Dragonslayer Twitch; Dragonslayer Vayne; Dragonslayer Xin Zhao; Scarlet Hammer Poppy
Dreadknights,Dreadknight Garen; Dreadknight Nasus
Coven,Coven Ahri; Coven Akali; Coven Ashe; Coven Camille; Coven Cassiopeia; Coven Elise; Coven Evelynn; Coven LeBlanc; Coven Lissandra; Coven Morgana; Coven Nami; Coven Nilah; Coven Syndra; Coven Zyra; Old God Ivern; Old God Malphite; Old God Mordekaiser; Old God Nocturne; Old God Warwick; Prestige Coven Akali; Prestige Coven LeBlanc; Prestige Coven Zyra; The Thousand-Pierced Bear
Death Blossom,Death Blossom Elise; Death Blossom Kha'Zix
Eclipse,Lunar Eclipse Aatrox; Lunar Eclipse Leona; Lunar Eclipse Senna; Prestige Lunar Eclipse Senna; Solar Eclipse Leona; Solar Eclipse Sejuani; Solar Eclipse Sivir; Sun-Eater Kayle
Elderwood,Dryad Soraka; Elderwood Ahri; Elderwood Azir; Elderwood Bard; Elderwood Gnar; Elderwood Hecarim; Elderwood Karthus; Elderwood LeBlanc; Elderwood Ornn; Elderwood Rakan; Elderwood Rek'Sai; Elderwood Veigar; Elderwood Wukong; Elderwood Xayah; Emerald Taric; Old God Ivern; Old God Malphite; Old God Nocturne; Old God Warwick
Omen of the Dark,Black Scourge Singed; Blade Queen Lissandra; Cursed Revenant Nocturne; Executioner Mundo; Grey Warwick; Iron Inquisitor Kayle; Spectral Fiddlesticks; Undertaker Yorick
Elementalist,Elementalist Lux
Challenger,Challenger Ahri; Challenger Nidalee
Conqueror,Conqueror Alistar; Conqueror Jax; Conqueror Karma; Conqueror Nautilus; Conqueror Varus; Prestige Conqueror Jax
World Champions: 2011,Fnatic Corki; Fnatic Gragas; Fnatic Janna; Fnatic Jarvan IV; Fnatic Karthus
World Champions: 2012,TPA Ezreal; TPA Nunu & Willump; TPA Orianna; TPA Shen; TPA Mundo
World Champions: 2013,SKT T1 Jax; SKT T1 Lee Sin; SKT T1 Vayne; SKT T1 Zed; SKT T1 Zyra
World Champions: 2014,SSW Rengar; SSW Singed; SSW Talon; SSW Thresh; SSW Twitch
World Champions: 2015,SKT T1 Alistar; SKT T1 Azir; SKT T1 Elise; SKT T1 Kalista; SKT T1 Renekton; SKT T1 Ryze
World Champions: 2016,SKT T1 Ekko; SKT T1 Jhin; SKT T1 Nami; SKT T1 Olaf; SKT T1 Syndra; SKT T1 Zac
World Champions: 2017,SSG Ezreal; SSG Gnar; SSG Jarvan IV; SSG Rakan; SSG Taliyah; SSG Xayah
World Champions: 2018,iG Camille; iG Fiora; iG Irelia; iG Kai'Sa; iG LeBlanc; iG Rakan
World Champions: 2019,FPX Gangplank; FPX Lee Sin; FPX Malphite; FPX Thresh; FPX Vayne
World Champions: 2020,DWG Jhin; DWG Kennen; DWG Leona; DWG Nidalee; DWG Twisted Fate
World Champions: 2021,EDG Aphelios; EDG Graves; EDG Viego; EDG Yuumi; EDG Zoe
World Champions: 2022,DRX Aatrox; DRX Akali; DRX Ashe; DRX Caitlyn; DRX Kindred; DRX Maokai; Prestige DRX Aatrox
World Champions: 2023,Prestige T1 Jayce; T1 Bard; T1 Jayce; T1 Jinx; T1 Lee Sin; T1 Orianna
World Championship,Reignited Worlds 2012 Riven; Worlds 2012 Riven; Worlds 2013 Thresh; Worlds 2014 Shyvana; Worlds 2015 Kalista; Worlds 2016 Zed; Worlds 2017 Ashe; Worlds 2018 Kha'Zix; Worlds 2019 Ryze; Worlds 2020 LeBlanc; Worlds 2021 Jarvan IV; Worlds 2022 Azir; Worlds 2023 Renekton; Worlds 2024 Viego
Cosmic,Cosmic Lux; Cosmic Blade Master Yi; Cosmic Charger Hecarim; Cosmic Dawn Rakan; Cosmic Defender Xin Zhao; Cosmic Destiny Nami; Cosmic Devourer Vladimir; Cosmic Dusk Xayah; Cosmic Enchantress Lulu; Cosmic Flight Anivia; Cosmic Hunter Varus; Cosmic Huntress Nidalee; Cosmic Invoker Illaoi; Cosmic Matriarch Bel'Veth; Cosmic Paladin Nautilus; Cosmic Paladin Sion; Cosmic Paladins Nunu & Willump; Cosmic Queen Ashe; Cosmic Reaver Kassadin; Cosmic Sting Skarner
Dark Star,Dark Cosmic Diana; Dark Cosmic Jhin; Dark Cosmic Lissandra; Dark Cosmic Lux; Dark Cosmic Erasure Jhin; Dark Star Cho'Gath; Dark Star Jarvan IV; Dark Star Kai'Sa; Dark Star Karma; Dark Star Kha'Zix; Dark Star Malphite; Dark Star Mordekaiser; Dark Star Orianna; Dark Star Shaco; Dark Star Sylas; Dark Star Thresh; Dark Star Varus; Dark Star Xerath; Dark Star Yorick; Dark Star Zoe; Prestige Dark Cosmic Diana; Prestige Dark Star Malphite
Fables,Dark Valkyrie Diana; Djinn Malzahar; Ghost Bride Morgana; Leprechaun Veigar; Loch Ness Cho'Gath; Muse Sona; Musketeer Twisted Fate; Mythic Cassiopeia; Perseus Pantheon; River Spirit Nami; Royal Guard Fiora; Sasquatch Nunu & Willump; Siren Cassiopeia; Valkyrie Leona
Ashen Knights,Ashen Conqueror Pantheon; Ashen Graveknight Mordekaiser; Ashen Guardian Shen; Ashen Knight Pyke; Ashen Slayer Sylas
Papercraft,Papercraft Anivia; Papercraft Nunu & Willump
Forgotten Depths,Abyssal Nautilus; Atlantean Fizz; Atlantean Syndra; Coral Reef Malphite; Deep One Kassadin; Deep Sea Kog'Maw; Deep Sea Nami; Deep Terror Thresh
Broken Covenant,Broken Covenant Cho'Gath; Broken Covenant Miss Fortune; Broken Covenant Nocturne; Broken Covenant Rakan; Broken Covenant Riven; Broken Covenant Vladimir; Broken Covenant Xayah; Prestige Broken Covenant Miss Fortune
Dragonmancers,Dragonmancer Fiora; Dragonmancer Kassadin; Dragonmancer Rakan; Dragonmancer Vayne; Dream Dragon Yasuo; Duality Dragon Volibear; Eternal Dragon Brand; Fae Dragon Ashe; Lagoon Dragon Kai'Sa; Obsidian Dragon Sett; Prestige Dragonmancer Rakan; Prestige Duality Dragon Volibear; Prestige Obsidian Dragon Sett; Steel Dragon Thresh; Storm Dragon Aurelion Sol; Storm Dragon Lee Sin; Tranquility Dragon Karma; Truth Dragon Yasuo
Phoenixmancers,Brave Phoenix Xayah; Divine Phoenix Anivia; Graceful Phoenix Seraphine; Prestige Brave Phoenix Xayah
Primal Ambush,Primal Ambush Riven; Primal Ambush Sivir; Primal Ambush Talon; Primal Ambush Vi
Galactic,Galactic Azir; Galactic Nasus; Galactic Renekton
Glacial,Frozen Shen; Frozen Terror Nocturne; Glacial Malphite; Glacial Olaf
Battle Academia,Battle Academia Caitlyn; Battle Academia Ezreal; Battle Academia Garen; Battle Academia Jayce; Battle Academia Katarina; Battle Academia Leona; Battle Academia Lux; Battle Academia Wukong; Battle Academia Yone; Battle Principal Yuumi; Battle Professor Graves; Prestige Battle Academia Leona; Prestige Battle Academia Lux; Prestige Battle Academia Lux (2022)
Guardian of the Sands,Guardian of the Sands Janna; Guardian of the Sands Kha'Zix; Guardian of the Sands Rammus; Guardian of the Sands Rengar; Guardian of the Sands Ryze; Guardian of the Sands Skarner; Guardian of the Sands Xerath; Risen Fiddlesticks; Sand Wraith Pyke; Sandstorm Ekko; Sandstorm Katarina
Pharaoh,Pharaoh Amumu; Pharaoh Nasus; Pharaoh Nidalee
Risen Legends,Immortalized Legend Ahri; Risen Legend Ahri; Risen Legend LeBlanc
Headhunter,Headhunter Akali; Headhunter Caitlyn; Headhunter Master Yi; Headhunter Nidalee; Headhunter Rengar
Heavy Metal,Full Machine Viktor; Full Metal Jayce; Full Metal Pantheon; Full Metal Rammus; Nunu & Willump Bot
Hextech,Hextech Alistar; Hextech Amumu; Hextech Anivia; Hextech Annie; Hextech Galio; Hextech Janna; Hextech Jarvan IV; Hextech Kassadin; Hextech Kog'Maw; Hextech Malzahar; Hextech Nocturne; Hextech Poppy; Hextech Rammus; Hextech Renekton; Hextech Sejuani; Hextech Singed; Hextech Sion; Hextech Swain; Hextech Tristana; Hextech Ziggs
High Noon,Bandito Fiddlesticks; Cowgirl Miss Fortune; Desperada Cassiopeia; High Noon Ashe; High Noon Darius; High Noon Evelynn; High Noon Gragas; High Noon Hecarim; High Noon Irelia; High Noon Jhin; High Noon Katarina; High Noon Leona; High Noon Lucian; High Noon Mordekaiser; High Noon Rell; High Noon Samira; High Noon Senna; High Noon Sion; High Noon Tahm Kench; High Noon Talon; High Noon Thresh; High Noon Twisted Fate; High Noon Twitch; High Noon Urgot; High Noon Varus; High Noon Viktor; High Noon Yasuo; High Noon Yone; Longhorn Alistar; Peacemaker High Noon Yone; Prestige High Noon Evelynn; Prestige High Noon Talon; Sandscourge Skarner; Sheriff Caitlyn; Sonoran Kog'Maw
Road Warrior,Apocalyptic Brand; Badlands Baron Rumble; Baron Von Veigar; Blast Zone Heimerdinger; Hyena Warwick; Junkyard Trundle; Road Warrior Miss Fortune; Ruthless Pantheon
Vandal,Hired Gun Graves; Vandal Brand; Vandal Gragas; Vandal Jax; Vandal Twitch; Vandal Vladimir
Three Honors,Three Honors Akshan; Three Honors Malzahar; Three Honors Shen
Immortal Journey,Divine Sword Irelia; Enduring Sword Talon; Eternal Sword Yi; God Fist Lee Sin; God Staff Jax; Immortal Journey Kayle; Immortal Journey Shyvana; Immortal Journey Sona; Immortal Journey Soraka; Immortal Journey Zed; Immortal Journey Zeri; Majestic Empress Morgana; Prestige Immortal Journey Sona; Prestige Valiant Sword Riven; Prestige Valiant Sword Riven (2022); Sacred Sword Janna; Soaring Sword Fiora; Splendid Staff Nami; Valiant Sword Riven
Infernal,Ashen Lord Aurelion Sol; Charred Maokai; Firefang Warwick; Foxfire Ahri; Infernal Akali; Infernal Alistar; Infernal Amumu; Infernal Ashe; Infernal Diana; Infernal Galio; Infernal Karma; Infernal Karthus; Infernal Kennen; Infernal Mordekaiser; Infernal Nasus; Infernal Olaf; Infernal Shen; Infernal Varus; Infernal Vel'Koz; Molten Rammus; Obsidian Malphite; Scorched Earth Renekton; Scorched Earth Xerath; Shadowfire Kindred; Volcanic Wukong; Wildfire Zyra
Inkshadow,Inkshadow Aurelion Sol; Inkshadow Kai'Sa; Inkshadow Master Yi; Inkshadow Udyr; Inkshadow Volibear; Inkshadow Yasuo; Inkshadow Yone; Prestige Inkshadow Yasuo
Marauder,Marauder Alistar; Marauder Ashe; Marauder Kalista; Marauder Kled; Marauder Olaf; Marauder Warwick; Marauder Xin Zhao
Warden,Warden Gragas; Warden Jax; Warden Karma; Warden Nautilus; Warden Quinn; Warden Sivir
Dreadnova,Dreadnova Darius; Dreadnova Gangplank
Eternum,Eternum Cassiopeia; Eternum Nocturne; Eternum Rek'Sai
Steel Legion,Steel Legion Garen; Steel Legion Lux
Steel Valkyries,Admiral Glasc; Aether Wing Kayle; Armored Titan Nasus; Blade Mistress Morgana; Bullet Angel Kai'Sa; Cyber Halo Janna; Gun Goddess Miss Fortune; Prestige Cyber Halo Janna; Strike Commander Camille; Strike Paladin Lucian
Zenith Games,Zenith Games Blitzcrank; Zenith Games Jayce; Zenith Games Lee Sin
Lancer,Lancer Paragon Blitzcrank; Lancer Rogue Blitzcrank; Lancer Stratus Wukong; Lancer Zero Hecarim
Legacy,Amethyst Ashe; Assassin Master Yi; Asylum Shaco; Badger Teemo; Bandit Sivir; Battle Regalia Poppy; Bladecraft Orianna; Blight Crystal Varus; Chosen Master Yi; Chrome Rammus; Darkflame Shyvana; Darkforge Jarvan IV; Defender Leona; Desert Trooper Garen; Enchanted Galio; Explorer Ezreal; Forsaken Jayce; Forsaken Olaf; General Wukong; Gladiator Draven; Golden Alistar; Harbinger Kassadin; Highland Tryndamere; Hillbilly Gragas; Hired Gun Lucian; Imperial Lux; Imperial Xin Zhao; Ionia Master Yi; Iron Solari Leona; Ironscale Shyvana; Jailbreak Graves; Jaximus; Judgment Kayle; Karate Kennen; Koi Nami; Leopard Nidalee; Major Ziggs; Marble Malphite; Masquerade Evelynn; Mercenary Katarina; Midnight Ahri; Minuteman Gangplank; Monarch Kog'Maw; Mr. Mundoverse; Nemesis Jax; Night Hunter Rengar; Nightblade Irelia; Nightmare Cho'Gath; Ninja Rammus; Noxus Hunter Anivia; Phantom Karthus; Recon Teemo; Red Baron Corki; Renegade Talon; Reverse Annie; Royal Shaco; Rumble in the Jungle; Runeborn Xerath; Rusty Blitzcrank; Safari Caitlyn; Sakura Karma; Samurai Yi; Sanguine Garen; Shadow Prince Malzahar; Silverfang Akali; Special Weapon Zac; Spectacular Sivir; Subterranean Nautilus; Swamp Master Kennen; Tempest Janna; Temple Jax; The Magnificent Twisted Fate; Totemic Maokai; Tundra Fizz; Warlord Shen; Warmonger Sion; Warrior Princess Sivir; Waterloo Miss Fortune; Wicked LeBlanc; Workshop Shaco; Yellow Jacket Shen
Heavenscale,Divine Heavenscale Lee Sin; Heavenscale Diana; Heavenscale Ezreal; Heavenscale Janna; Heavenscale Kai'Sa; Heavenscale Lee Sin; Heavenscale Master Yi; Heavenscale Smolder; Prestige Heavenscale Ezreal
